area,avg_delivery_time
Ramgopalpet,60.3333
Kalasiguda,60.3333
Kolkata,60.3636
"Annanagar East",60.3684
Mylapore,60.5476
"Kalyani Nagar",60.5667
Wanwadi,60.8000
Kodihalli,60.8333
"Maniktala Main Rd",61.0000
Vijayanagar,61.0000
"Koramangala - Bangalore",61.0000
Dabholi,61.0000
"Vile Parle",61.0000
"Lower Parel Worli",61.0000
"Sector -15",61.0000
"Mantri Sqare Mall",61.0000
Tarnaka,61.1667
Perambur,61.2921
Teynampet,61.3226
"Bn Reddy Nagar",61.5000
"Ganga Dham",61.5000
Yerawada,61.5714
"Balavinayagar Nagar",61.6000
"Banjara Hills",61.7168
Lullanagar,61.7500
Bibwewadi,61.9643
Mangawadi,62.0000
"Mahadev Nagar Tekra",62.0000
Begampur,62.0000
"Circus Avenue",62.0000
"Picnic Garden",62.0000
"Lord Sinha Rd",62.0000
"Sri Durga Enclave",62.0000
"Visharant Wadi",62.5000
Narolgam,62.6000
Bhowanipore,62.9683
"Madhura Nagar",63.0000
"Koregoan Park",63.0000
Belgachia,63.0000
"Old Wasermenpet",63.0000
"Bldg No15 /402  Aniket Building  Shivaji Nagar",63.0000
"Gunti Jangaiah Nagar",63.0000
Vishrantwadi,63.2222
"Mota Varachha",63.4000
"Near City Centre 1 Petrol Pump",64.0000
Hakimpet,64.0000
"Near Rto Pal Gam",64.0000
"Saltlake Sector 1",64.0000
Jillelaguda,64.0000
Karvenagar,64.0000
"New Magdalla",64.1250
Uppal,64.1290
"Sinhgad Road",64.4706
"Opp Padmashree Movie Hall",65.0000
"Old Sangvi",65.0000
Chiriamore,65.0000
"Jyothi Nagar",65.0000
"Karam Pura",65.0000
"Sri Hanuman Nagar Colony",65.0000
"Park Circus",65.0000
"Gunrock Enclave",65.0000
"Sri Sai Tarun Enclave",65.0000
"Mahalaxmi Rd",65.0000
Dindoli,65.0000
"Anna Nagar West",65.0000
Begumpet,65.8333
Balkampet,66.0000
Madhavaram,66.0000
Mandaveli,66.0000
"Bong Chinese Ruby Area",66.0000
"Beltala Road",66.0000
"Salunkhe Vihar Road",66.0000
"Balaji Nagar",66.0000
Magarpatta,66.4000
"Shalimar Bagh",66.4444
Magdalla,66.5000
Ballygunge,66.6250
Kodungaiyur,66.7000
"Toli Chowki",66.7619
Alwarpet,66.9111
"Anna Nagar",66.9863
"Sarat Bose Rd",67.0000
"A Unit Of M/S Cohort  Ruby Area",67.0000
Chandrayangutta,67.0000
"Madhavaram - Manali",67.0000
" Begumpet",67.0000
"New Area",67.0000
"Padma Nagar Colony",67.0000
Tolichowki,67.1176
Mundhwa,67.2500
Choolaimedu,67.3889
"Anand Nagar",67.6000
Ameerpet,67.6061
Wanowrie,67.6897
Tangra,67.7222
Naroda,67.7500
Arumbakkam,67.8889
Paikpara,67.9167
"Central Market Punjabi Bagh",68.0000
Yousufguda,68.0000
Sangvi,68.0000
"Vijay Nagar Colony",68.0000
"Mmda Colony",68.0000
"Brindavan Colony",68.0000
"Ra Puram",68.0000
Pcmc,68.0000
Aundh,68.0204
Tiljala,68.1429
Karkhana,68.2500
"Sanjeeva Reddy Nagar",68.3333
Bidhannagar,68.4472
"Dahin Nagar",68.6667
"Gaddi Annaram",69.0000
Warje,69.0714
"T. Nagar",69.0789
Villivakkam,69.1667
"Ashok Vihar",69.2000
"Punjabi Bagh",69.2857
Kolathur,69.5000
Vastral,69.5000
Nacharam,69.5000
Topsia,69.6250
Sanitytestarea,69.6250
"South Kolkata",69.9808
"Chandrapuri Colony",70.0000
"Central Markt Punjabi Bagh",70.0000
Kalas,70.0000
"Subhash Nagar Petrol Pump",70.0000
Acher,70.0000
Santhome,70.0000
"Tarnaka  Nacharam & Malkajigiri",70.0000
"Srinivas Towers",70.0000
"Manohar Pukur Road",70.0000
Ponniammanmedu,70.2000
Nagole,70.2500
Annanagar,70.3750
Kalighat,70.4894
"Salunkhe Vihar",70.5000
"New Gayatri Nagar",70.5000
Baner,70.6400
"Moti Nagar",70.6667
Dhankawadi,70.7391
"Purba Barisha",71.0000
Bavdhan,71.0000
"Patel  Nagar",71.0000
"Kirti Nagar",71.0000
"Ultadanga Telenga Bagan",71.0000
"South West",71.0000
"Kalyan Nagar X Roads",71.0000
"Salt Lake",71.0548
"Vishnu Garden",71.2000
Baranagar,71.3571
"Kharkhana & Trimulgherry",71.5000
"Tarnaka Nacharam & Malkajigiri",71.5000
Kasba,71.5417
"Tagore Garden Extension",71.6111
Nandanam,71.6667
"Tilak Nagar",71.7143
"Wadgaon Sheri",71.7500
Gariahat,71.7895
"Ramesh Nagar",71.8333
Pashan,72.0000
Sreebhumi,72.0000
Ambegaon,72.0000
"Keshav Puram",72.0000
Kg-Iii,72.0000
"Tri Nagar",72.0000
"Uppal - Hyderabad",72.0000
Kondhwa,72.2656
Kotturpuram,72.5000
Cossipore,72.5000
Kodambakkam,72.6176
Gobra,72.8000
"T Nagar",72.9630
"West Marredpally",73.0000
"Krishna Park Tilak Nagar",73.0000
"Salt Lake City",73.0000
Bally,73.0000
"Nibm Post Office Road",73.0000
"Sector V Salt Lake",73.1250
Tala,73.5000
"Lake Market",73.5000
"North Dumdum",73.5714
"Tingre Nagar",73.6667
Vatva,73.6667
"Rajouri Garden",73.7647
"West Mambalam",73.8182
"Viman Nagar",73.9231
"Raja Annamalai Puram",74.0000
"Block Gg1 Vikaspuri",74.0000
"Hindustan Park",74.0000
"Jubilee Hills",74.0000
Dapodi,74.0000
"Sarvodaya Colony",74.0000
"Rajouri Garden Extension",74.0000
Amarpalli,74.0000
"Bhavani Nagar Uppal - Hyderabad",74.0000
Bowenpally,74.5000
"Mohammed Wadi",74.6667
Golpark,74.8636
"Uttam Nagar",75.0000
"Thirunagar Signal Vadapalani",75.0000
"Wadgaon Budruk Tilak Road",75.0000
Katraj,75.0000
Bosepukur,75.0000
"Sarat Park",75.0000
Valasaravakkam,75.0000
Chandkheda,75.1429
"Kondhwa Budruk",75.2500
Vikaspuri,75.5000
Hadapsar,75.7500
Motera,76.0000
"Punjab Bagh",76.0000
Tondiarpet,76.0000
"Pacific Mall Subhash Nagar",76.0000
"Ruby Park",76.0000
Dhanakawadi,76.0000
Vanasthalipuram,76.3333
Chetla,76.5000
Secunderabad,76.5000
Nagerbazar,77.0000
"Lb Nagar",77.0000
Kidderpore,77.0000
"Kausar Baugh Nibm Road",77.0000
"Wazirpur Industrial Area",77.0000
"Ruby Area",77.4800
"Kuber Nagar",77.6250
"Cit Nagar",77.6667
"Kestopur Rabindrapally",78.0000
"East Kolkata Township",78.0833
"Lake Town",78.2319
Janakpuri,78.5000
Narhe,78.6667
"Film Nagar",78.7500
"Anna Nagar West Extension",78.7500
Koyambedu,79.0000
Saligramam,79.0000
Vadapalani,79.3333
Sinthee,79.4286
"Vadgaon Budruk",79.5556
Dumdum,79.8065
Selimpur,80.0000
"Golf Green",80.0000
Mogappair,80.0000
Bangur,80.0000
"Dum Dum Park",81.0000
"Dum Dum",81.0556
Alipore,81.1154
"Lake Gardens",81.1250
"Golconda Fort",81.5000
Malkajgiri,82.0000
Kustia,82.0000
"Annamalai Colony",83.0000
"Tolichowki Hps Kids School Opposite",83.0000
"Noble Nagar Tenament",83.0000
"New Alipore",83.0588
"South Dumdum",83.2500
Kestopur,83.3571
"A.S. Rao Nagar & Sainikpuri",83.5000
"Chinar Park",84.0000
"Gidc Naroda",84.0000
Jadavpur,84.6129
"Ruby Area  Kasba  East Kolkata Township",85.0000
"Southern Avenue Gariahat",85.0000
Peerzadiguda,85.0000
Borough,85.0000
"Rabindra Sarovar",85.0000
Dhakuria,85.5000
"Jodhpur Park",85.9375
Jodhpur,86.0000
Mogapair,86.0000
Garfa,86.4000
"Tiruvalleeswarar Nagar",86.5000
Rajarhat,87.0000
Baguiati,87.5000
"Near Lal Gate Ramlal Bazarsapuipara",88.0000
Baguihati,88.4000
Behala,89.7500
"Smarpally Kestopur",90.0000
Tollygunge,90.7000
Haltu,91.0000
Santoshpur,92.0000
Rabindrapally,97.0000
